Name,Price,Stars,Score,Spoken Language,Reviews,Location,Floors,Rooms,Resturents,Sparkling clean,NewlyBuilt,ExcellentView,Check In 24/7,AirportTransfer,Front Desk,Valet Parking,Free WiFi In All Rooms,Swimming Pool,Bar,Coffee,DailyHousekeeping,Elevator,Hair Dryer,Golf,Kids club,Booked today,Real Guest Cleanlines Score,Real Guest Facilities Score,Real Guest Location Score,Real Guest Service Score,Real Guest Value for money Score
Pariya Haad Yuan Resort Koh Phangan,309,3.5 star,"7.0
Very good
516 reviews","English, Burmese, Thai",516 reviews,"153/2 Moo 6, Haad Yuan, Ko Pha-ngan, Thailand, 84280",,,,False,False,False,False,False,False,False,True,True,True,False,True,False,False,False,False,0,7.5,6.7,8.1,7.9,7.3
Haadrin Resort,804,2.5 star,"7.5
Very good
239 reviews","English, Chinese [Mandarin], Thai",239 reviews,"Haad Rin Resort 128/9 Moo 6 . Tambon Baan Tai. Phangan District, Suratthani, 84280. Thailand , Haad Rin, Ko Pha-ngan, Thailand, 84280",,,,False,False,False,False,False,False,False,True,False,True,True,True,False,False,False,False,0,7.1,6.7,9.1,5.8,7.8
Loyfa Natural Resort,158,3 star,"8.0
Excellent
1,001 reviews","English, Arabic, German, Hindi, Thai","1,001 reviews","14/1 Moo 8, Sri Thanu, Ko Pha-ngan, Thailand, 84280",,,,False,False,True,False,True,False,True,True,False,False,True,True,False,False,True,False,0,8.3,8.1,8.1,8.2,8.4
Friendly Resort & Spa,162,3 star,"6.4
Good
420 reviews","English, Thai",420 reviews,"110/13 Moo.6 Bantai, Haad Rin Beach (Sunset Beach), Haad Rin, Ko Pha-ngan, Thailand, 84280",,,,False,False,False,False,False,False,False,True,False,True,False,True,False,False,False,False,0,5.4,6.2,7.9,6.1,6.7
Family House Resort,302,2 star,"6.8
Good
247 reviews","English, Thai",247 reviews,"94/5 Moo 6 Haad Rin(Nai), Koh Phangan, Suratthani, Thailand, Haad Rin, Ko Pha-ngan, Thailand, 84280",,,,False,False,False,False,False,False,False,True,False,False,True,True,False,False,False,False,0,5.8,5.3,8.3,3.0,7.1
Haad Chao Phao Resort,103,2 star,"7.0
Very good
169 reviews","English, Bulgarian, Croatian, Greek, Italian, Spanish, Thai",169 reviews,"48/3 Moo Srithanu, Haad Chao Phao, Ko Pha-ngan, Thailand, 84280",,,,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,0,6.0,6.0,8.3,5.2,8.0
Koh Ma Beach Resort (SHA Extra Plus),133,4 star,"7.9
Very good
1,063 reviews","English, Filipino, French, Thai","1,063 reviews","106/3 m.7 Koh phangan Thailand 84280, Mae Haad, Ko Pha-ngan, Thailand, 84280",1,2016,67,False,False,False,False,True,False,True,True,True,True,True,True,False,False,False,False,0,8.4,7.6,8.2,7.3,8.1
Sunset Hill Boutique Resort (SHA Extra Plus),399,4 star,"8.4
Excellent
996 reviews","English, Burmese, Dutch, Filipino, German, Thai",996 reviews,"81/15 Moo 8 Koh Phangan, Haad Chao Phao, Ko Pha-ngan, Thailand, 84280",2,30,1,False,False,True,False,True,False,False,True,True,True,True,True,False,False,True,False,0,8.7,8.3,8.1,8.8,8.9
Nice Sea Resort,163,2 star,"8.3
Excellent
571 reviews","English, Thai",571 reviews,"19/3 Moo 8, Sri Thanu, Ko Pha-ngan, Thailand, 84280",,,,False,False,False,False,False,False,True,True,False,True,False,False,False,False,False,False,0,8.1,7.7,8.8,8.3,8.4
Phangan Arena Hostel,JMI,0 star,"7.3
Very good
915 reviews","English, Burmese, French, Japanese, Spanish, Thai",915 reviews,"moo 1 Bantai road, Thong Sala, Ko Pha-ngan, Thailand, 84280",,,,False,False,False,False,False,False,False,True,True,True,True,True,False,False,False,False,0,6.8,7.7,7.7,7.6,7.6
