Name,Price,Stars,Score,SpokenLanguages,Reviews,Location,Sparkling clean,NewlyBuilt,ExcellentView,Check In 24/7,AirportTransfer,Front Desk,Valet Parking,Free WiFi In All Rooms,Swimming Pool,Bar,Coffee,DailyHousekeeping,Golf,Kids club,Booked today,Real Guest Cleanlines Score,Real Guest Facilities Score,Real Guest Location Score,Real Guest Service Score,Real Guest Value for money Score,Origin
Beverly 33 by Aspira,109,3.5,8.2,"English, Thai",283,"11/1 Sukhumvit Soi 33, Klongton Nua, Wattana, Sukhumvit, Bangkok, Thailand, 10110",0,0,0,0,1,1,0,1,1,1,1,1,1,0,0.0,8.6,8.1,8.4,7.1,8.1,Bangkok
PENTAFIELD CITY RESIDENCE,86,4.0,7.7,"English, Chinese [Mandarin], Thai",744,"Sukhumvit, Bangkok, Thailand",0,0,0,0,0,0,0,1,0,0,0,0,0,0,12.0,7.9,7.8,8.4,7.9,8.1,Bangkok
The Prestige Nana (SHA Extra Plus),154,3.0,7.6,"English, Arabic, Thai",215,"8/5-6 Soi Sukhumvit 3 (Nana Nua) Sukhumvit Rd., Klongtoey-Nua Wattana,, Sukhumvit, Bangkok, Thailand, 10110",0,0,0,0,0,1,0,1,0,0,1,1,0,0,0.0,7.4,6.6,8.2,7.8,7.1,Bangkok
Laike Hotel,178,4.0,9.3,"English, Chinese [Mandarin], Thai",61,"646 ถ. พระราม ๒, South Thonburi, Bangkok, Thailand, 10150",1,0,0,1,0,1,0,1,0,1,1,1,0,0,6.0,9.7,9.0,9.2,9.7,9.4,Bangkok
Petra Boutique Donmuang,83,3.0,8.5,"English, Thai",351,"Don Mueang International Airport, Bangkok, Thailand",0,0,0,0,0,0,0,1,0,1,0,0,0,0,0.0,8.9,8.4,8.6,9.0,8.8,Bangkok
H2 Hotel,74,3.0,6.8,"English, Chinese [Mandarin], Thai",1111,"529-533 Soi Chan 18/7, Yannawa,Sathorn, Sathorn, Bangkok, Thailand, 10120",0,0,0,1,1,1,0,1,0,0,1,1,0,0,3.0,6.9,6.4,7.0,7.1,6.9,Bangkok
Pratunam Atrium Hotel,135,3.0,7.1,"English, Thai",268,"Soi Phetburi 15, Pratunam, Bangkok, Thailand, 10400",0,0,0,1,0,1,0,1,0,1,0,1,0,0,4.0,7.2,6.5,7.3,7.2,7.2,Bangkok
Bed By Tha-Pra (SHA Extra Plus),78,2.0,7.9,"English, Burmese, Malay, Thai",1904,"134/12-14 Petchakasem Road Soi 26/1 , Pakkhlong Phasicharoen, Bangkok, Thonburi, Bangkok, Thailand, 10160",0,0,0,1,0,1,0,1,0,0,1,1,0,0,18.0,7.8,7.5,8.4,6.8,7.9,Bangkok
Na Siri Lakeview,83,4.0,7.8,"English, Burmese, Lao, Thai",2154,"Suvarnabhumi Airport, Bangkok, Thailand",0,0,0,0,1,0,1,1,0,1,0,1,0,0,0.0,8.9,7.5,7.1,8.3,8.3,Bangkok
"Bodega Party City Center, Bangkok",27,2.0,7.2,"English, Thai",29,"120/13-14 Soi Sukhumvit 23, Khlong Toei Nuea, Wattana, Sukhumvit, Bangkok, Thailand, 10110",0,0,0,1,0,1,0,1,0,1,0,1,0,0,0.0,5.9,6.5,6.5,7.1,6.0,Bangkok
