Name,Price,Stars,Score,Spoken Language,Reviews,Location,Floors,Rooms,Resturents,Sparkling clean,NewlyBuilt,ExcellentView,Check In 24/7,AirportTransfer,Front Desk,Valet Parking,Free WiFi In All Rooms,Swimming Pool,Bar,Coffee,DailyHousekeeping,Elevator,Hair Dryer,Golf,Kids club,Booked today,Real Guest Cleanlines Score,Real Guest Facilities Score,Real Guest Location Score,Real Guest Service Score,Real Guest Value for money Score
The Kaze 34 Hotel and Serviced Residence,99,3 star,"8.2
Excellent
397 reviews","English, Filipino, Thai",397 reviews,"66 Sukhumvit Soi34 Sukhumvit Rd., Klongton, Klongtoey (Near BTS Thonglor) Bangkok, Sukhumvit, Bangkok, Thailand, 10110",,,,False,False,False,True,True,True,False,True,False,False,False,True,False,False,True,False,0,8.3,7.9,7.0,7.8,8.4
Born Free Hostel,22,2 star,"8.9
Excellent
225 reviews","English, Burmese, French, German, Italian, Thai",225 reviews,"Samsen Road, Khaosan, Bangkok, Thailand, 10200",,,,True,False,False,False,False,True,False,True,False,False,True,True,False,False,False,False,0,9.0,8.3,9.0,9.3,9.0
Thonglor Suites Hotel,110,4 star,"8.1
Excellent
58 reviews","English, Thai",58 reviews,"2/7 Soi Sukhumvit 53 Khwaeng Khlong Tan Nuea, Sukhumvit, Bangkok, Thailand, 10110",,,,False,True,False,True,False,True,False,True,False,False,True,True,False,False,False,False,0,7.4,6.5,9.1,7.7,8.4
Aspira D’Andora Sukhumvit 16 – Asoke,105,3.5 star,"8.2
Excellent
711 reviews","English, Thai",711 reviews,"180/2 Sukhumvit 16 (Sammitr) Sukhumvit Rd, Khlong Toei, Sukhumvit, Bangkok, Thailand, 10110",4,2015,23,False,False,False,True,False,True,False,True,False,False,False,True,False,False,False,False,0,8.8,7.7,7.7,8.7,8.7
Diamond City Hotel,82,3.5 star,"6.5
Good
2,244 reviews","English, Chinese [Mandarin], Thai","2,244 reviews","594/23 Soi Payanark, Rama VI Rd., Siam, Bangkok, Thailand, 10400",,,,False,False,False,True,True,True,True,True,False,True,True,True,False,False,False,False,10,6.2,5.9,6.9,7.0,6.9
Wall Street Inn Hotel,81,3 star,"7.2
Very good
3,659 reviews","English, Thai","3,659 reviews","37/20-24 Soi Surawongse Plaza, Surawongse Road, Silom, Bangkok, Thailand, 10500",220,,,False,False,False,False,False,True,False,True,False,False,True,True,False,False,False,False,8,6.8,6.4,8.4,6.9,7.0
Khaosan Park Hotel,79,3 star,"7.4
Very good
1,345 reviews","English, Chinese [Cantonese], Chinese [Mandarin], Thai","1,345 reviews","202 Khaosan Road, Taladyot, Phranakorn, Khaosan, Bangkok, Thailand, 10200",,,,False,False,False,True,False,True,False,True,False,False,False,True,False,False,False,False,8,7.4,6.7,8.5,7.6,7.4
Adagio Bangkok,146,0 star,"8.0
Excellent
1,437 reviews","English, Chinese [Mandarin], Thai","1,437 reviews","no.1/50-51 sukhumvit soi 39, Sukhumvit, Bangkok, Thailand, 10110",,,,False,False,False,True,True,True,False,True,False,True,False,True,False,False,False,False,0,7.8,7.1,9.1,8.4,8.0
RoomQuest Sukhumvit 36 @ BTS Thonglor,89,3 star,"8.5
Excellent
314 reviews","English, Thai",314 reviews,"129 Napha Sap 5 Alley, Sukhumvit 36, Khlong Tan, Khlong Toei, Bangkok, 10110, Sukhumvit, Bangkok, Thailand, 10110",,,,False,False,False,True,True,True,False,True,True,False,True,True,False,False,False,False,6,8.7,8.4,8.4,8.9,8.8
Baron Residence Bangkok,47,3.5 star,"8.2
Excellent
1,327 reviews","English, Chinese [Mandarin], Thai","1,327 reviews","777 Ladprao130 Ladprao Bangkapi, Bang Kapi, Bangkok, Thailand, 10240",,,,False,False,False,True,False,True,True,True,False,False,True,True,False,False,False,False,13,8.3,8.2,8.2,7.5,8.3
